asr_result,correct_answer,similarity
打开边界,打开便签,0.7020580556981271
属蛇的本月的十月运势,属蛇的本月的事业运势,0.9435570686863947
八达岭长城票贵吗,八达岭长城票贵吗,1.0
有个硬币,摇个硬币,1.0
双鱼座今日的幸运数字,双鱼座今日的幸运数字,0.9999999999999999
唐人街探案是谁演的,唐人街探案是谁演的,1.0000000000000002
我要自拍,我要自拍,nan
27岁是属什么的,27岁是属什么的,0.9999999999999999
下载王者荣耀,下载王者荣耀,1.0
搜索文档丢了怎么办,搜搜文档丢了怎么办,0.9020027873509815
我想知道属狗的今年的财运怎么样,我想知道属狗的今年的财运怎么样,0.9999999999999998
1吨等于多少千克,一吨等于多少千克,0.8892969299104718
大概想进设置,打开相机设置,0.588342044817143
巧克屏幕亮度,调高屏幕亮度,0.8105853430102976
应大众点评看一下我附近的美食,用大众点评看一下我附近的美食,0.957977422320989
最近上映的电影,最近上映的电影,1.0
广东的美食推荐,广东的美食推荐,1.0
我想看上周拍的照片,我想看上周拍的照片,0.9999999999999998
打开wifi,打开wifi,1.0
识别邮箱地址,识别邮箱地址,1.0
病毒性感冒的传播途径,病毒性感冒的传播途径,1.0
海口今天可以穿什么衣服,海口今天可以穿什么衣服,0.9999999999999998
搞笑的动态图,搞笑的动态图,1.0
我想从中关村去接俺们,我想从中关村去天安门,0.9083427197759639
我要看海绵宝宝,我要看海绵宝宝,1.0000000000000002
我要骑摩拜单车,我要骑摩拜单车,1.0
找壁纸,找壁纸,0.9999999999999998
我想看小狗的图片,我想看小狗的图片,0.9999999999999998
阳痿的实在,养胃的食材,0.5737182905002586
搜索复仇者联盟的预告片,搜索复仇者联盟的预告片,1.0000000000000002
大概无扰模式,打开勿扰模式,0.6221478983070077
我要问政,我要问诊,0.5245191423264085
美好的一天用法语怎么说,美好的一天用法语怎么说,0.9999999999999998
打开徐刚眼睛,打开虚空引擎,0.6901779126324618
孟子的国旗,孟子的国籍,0.8406260913628225
我现在在哪里,我现在在哪里,1.0
伦敦现在几点了,伦敦现在几点了,1.0
电视剧知否知否,电视剧知否知否,1.0
一美元等于多少人民币,一美元等于多少人民币,1.0
搜索为一直疼怎么办,搜搜胃一直疼怎么办,0.846658893594955
关于签证做的神预测,关于天枰座的神预测,0.7620010145121568
打开支付宝福建,打开支付宝付钱,0.8211774094792454
吃什么可以降火,吃什么可以降火,1.0
男生不和女生吵架的真实原因,男生不和女生吵架的真实原因,1.0000000000000002
消灭奥特曼的计划,消灭奥特曼的计划,1.0000000000000002
给15201010101帧100元话费,给15201010101充100元话费,0.9520722617200257
来电影院,来电音乐,0.3413885914306213
打开ofo上印上,打开ofo扫一扫,0.7342585454358357
你和我的倾城时光,你和我的倾城时光,0.9999999999999999
几点啦,几点了,0.48344124111732534
你的妈妈是谁,你的妈妈是谁,0.9999999999999999
吐槽大会第三季,吐槽大会第三季,1.0
用滴滴打车去公司,用嘀嘀打车去公司,0.9469206870700071
早起的好处,早起的好处,1.0000000000000002
要好吃摄像头拍小视频,用后置摄像头拍小视频,0.817039191250606
汽车导航去东直门,骑车导航去东直门,0.893662833588641
瞧见一辆到50,调节音量到50,0.7750347647683474
为你明灯3000,为你明灯三千,0.9070089346988504
蜡笔小新,蜡笔小新,1.0
勉强的紫外线强吗,明天的紫外线强吗,0.9221171066244365
昨天限行尾号,昨天限行尾号,1.0000000000000002
播放跑车的声音,播放跑车的声音,1.0
有哪些关于天蝎座的神预测,有哪些关于天蝎座的神预测,1.0
双子座的性格怎么样,双子座的性格怎么样,1.0000000000000002
流感怎么预防,流感怎么预防,0.9999999999999998
有风油精的表情包吗,有风油精的表情包吗,1.0000000000000002
杨幂有多高,姚明有多高,0.9166048907846038
打电话给中国联通,打电话给中国联通,1.0000000000000002
古港的价格门票,故宫的价格门票,0.9161625622286089
打开人像拍照模式,打开人像拍照模式,1.0
听歌,听歌,0.9999999999999998
你好小艾,你好小爱,0.839503999920657
我要听东北话,我要听东北话,1.0
截屏照片,截屏照片,1.0
打开微信小程序跳一跳,打开微信小程序跳一跳,1.0000000000000002
红烧肉怎么做,红烧肉怎么做,0.9999999999999999
识别起床的电话,识别其中的电话,0.8250797419597161
金坛使者是谁,净坛使者是谁,0.986624502273286
开启录像模式,开启录像模式,1.0000000000000002
要美团订个十点半的单位,用美团定个十点半的餐位,0.7940405375629362
最近空气质量如何,最近空气质量如何,1.0
看小猪佩奇,看小猪佩奇,1.0
迪丽热巴的微博,迪丽热巴的微博,0.9999999999999999
我的病情,我的便签,0.7874346035143257
早上好怎么翻译,早上好怎么翻译,1.0
呼叫顺丰快递,呼叫顺丰快递,0.9999999999999998
导航去最近的加油站,导航去最近的加油站,1.0
吃鸡脚回了我们什么,吃鸡教会了我们什么,0.9015348098815072
来段广东话,来段广东话,0.9999999999999998
我想看蒙面唱将猜猜猜,我想看蒙面唱将猜猜猜,0.9999999999999999
继续播放,继续播放,1.0000000000000002
前兆家园的开发商,天兆家园的开发商,0.941973751994454
冰雪大世界的营业时间,冰雪大世界的营业时间,1.0
当爷爷喊我见到行情,农业银行目前的行情,0.47576132042296154
天蝎座紧紧的运势如何,天蝎座今天的运势如何,0.9053154278011694
牙齿发酸怎么办,牙齿发酸怎么办,1.0000000000000002
根号三加根号二等于多少,根号3加根号2等于多少,0.8322233672845035
我想给小李发qq信息说前期正好,我想给小李发qq信息说天气真好,0.9086853901553885
播放一首唐诗,播放一首唐诗,0.9999999999999998
大概淘宝天猫超市,打开淘宝天猫超市,0.8935163645491782
