asr_result,correct_answer
调高屏幕亮度。,打开便签
来点音乐。,属蛇的本月的事业运势
我想看蒙面唱将猜猜猜。,八达岭长城票贵吗
我想给小李发QQ信息说天气真好。,摇个硬币
打开便签。,双鱼座今日的幸运数字
属蛇的本月的事业运势。,唐人街探案是谁演的
八达岭长城票贵吗？,我要自拍
摇个硬币。,27岁是属什么的
双鱼座今日的幸运数字。,下载王者荣耀
唐人街探案是谁演的？,搜搜文档丢了怎么办
我要自拍。,我想知道属狗的今年的财运怎么样
27岁是属什么的？,一吨等于多少千克
下载王者荣耀。,打开相机设置
搜索文档丢了怎么办？,调高屏幕亮度
我想知道属狗的，今年的财运怎么样？,用大众点评看一下我附近的美食
1吨等于多少千克？,最近上映的电影
打开相机设置。,广东的美食推荐
用大众点评看一下我附近的美食。,我想看上周拍的照片
最近上映的电影。,打开wifi
广东的美食推荐。,识别邮箱地址
我想看上周拍的照片。,病毒性感冒的传播途径
打开WIFI。,海口今天可以穿什么衣服
识别邮箱地址。,搞笑的动态图
病毒性感冒的传播途径。,我想从中关村去天安门
海口今天可以穿什么衣服？,我要看海绵宝宝
搞笑的动态图。,我要骑摩拜单车
我想从中关村去天安门。,找壁纸
我要看海绵宝宝。,我想看小狗的图片
我要骑摩拜单车。,养胃的食材
找壁纸。,搜索复仇者联盟的预告片
我想看小狗的图片。,打开勿扰模式
养胃的食材。,我要问诊
搜索复仇者联盟的预告片。,美好的一天用法语怎么说
打开勿扰模式。,打开虚空引擎
我要问诊。,孟子的国籍
美好的一天用法语怎么说？,我现在在哪里
打开虚空引擎。,伦敦现在几点了
孟子的国籍。,电视剧知否知否
我现在在哪里？,一美元等于多少人民币
伦敦现在几点了？,搜搜胃一直疼怎么办
电视剧知否知否。,关于天枰座的神预测
一美元等于多少人民币？,打开支付宝付钱
搜搜胃一直疼，怎么办？,吃什么可以降火
关于天秤座的神预测。,男生不和女生吵架的真实原因
打开支付宝付钱。,消灭奥特曼的计划
吃什么可以降火？,给15201010101充100元话费
男生不和女生吵架的真实原因。,来电音乐
消灭奥特曼的计划。,打开ofo扫一扫
给15201010101充100元话费。,你和我的倾城时光
打开ofo扫一扫。,几点了
你和我的倾城时光。,你的妈妈是谁
几点啦？,吐槽大会第三季
你的妈妈是谁？,用嘀嘀打车去公司
吐槽大会第三季。,早起的好处
用滴滴打车去公司。,用后置摄像头拍小视频
早起的好处。,骑车导航去东直门
用后置摄像头拍小视频。,调节音量到50
骑车导航去东直门。,为你明灯三千
调节音量到50。,蜡笔小新
为你明灯3000。,明天的紫外线强吗
蜡笔小新。,昨天限行尾号
明天的紫外线强吗？,播放跑车的声音
昨天限行尾号。,有哪些关于天蝎座的神预测
播放跑车的声音。,双子座的性格怎么样
有哪些关于天蝎座的神预测？,流感怎么预防
双子座的性格怎么样？,有风油精的表情包吗
流感怎么预防？,姚明有多高
有风油精的表情包吗？,打电话给中国联通
姚明有多高？,故宫的价格门票
打电话给中国联通。,打开人像拍照模式
故宫的价格门票。,听歌
打开人像拍照模式。,你好小爱
听歌。,我要听东北话
你好小艾。,截屏照片
我要听东北话。,打开微信小程序跳一跳
截屏照片。,红烧肉怎么做
打开微信小程序跳一跳。,识别其中的电话
红烧肉怎么做？,净坛使者是谁
识别其中的电话。,开启录像模式
净坛使者是谁？,用美团定个十点半的餐位
开启录像模式。,最近空气质量如何
用美团定个十点半的餐位。,看小猪佩奇
最近空气质量如何？,迪丽热巴的微博
看小猪佩奇。,我的便签
迪丽热巴的微博。,早上好怎么翻译
我的便签。,呼叫顺丰快递
早上好，怎么翻译？,导航去最近的加油站
呼叫顺丰快递。,吃鸡教会了我们什么
导航去最近的加油站。,来段广东话
吃鸡教会了我们什么？,我想看蒙面唱将猜猜猜
来段广东话。,继续播放
继续播放。,天兆家园的开发商
天兆家园的开发商。,冰雪大世界的营业时间
冰雪大世界的营业时间。,农业银行目前的行情
农业银行目前的行情。,天蝎座今天的运势如何
天蝎座今天的运势如何？,牙齿发酸怎么办
牙齿发酸怎么办？,根号3加根号2等于多少
根号三加根号二等于多少？,我想给小李发QQ信息说天气真好
播放一首唐诗。,播放一首唐诗
打开淘宝，天猫超市。,打开淘宝天猫超市
熊爸爸的十万个为什么？,熊爸爸的十万个为什么
打开支付宝，查看转账记录。,打开支付宝查看转账记录
水瓶座的优点有哪些？,水瓶座的优点有哪些
聊天。,聊天
打开京东发现。,打开京东发现
查看微博本地新闻。,查看微博本地新闻
锄禾日当午的下一句是什么？,锄禾日当午的下一句是什么
韭菜适合与什么一起吃？,韭菜适合与什么一起吃
打开热点。,打开热点
最近有风吗？,最近有风吗
吃什么可以补钙？,吃什么可以补钙
我要看彭于晏的图片。,我要看彭于晏的图片
1米等于多少厘米？,一米等于多少厘米
微信查找妈妈。,微信查找妈妈
端午节为什么要吃粽子？,端午节为什么要吃粽子
北冥有花。,北冥有哈
播放电钻声音。,播放电钻声音
明天几点日出？,明天几点日出
我想听民谣。,我想听民谣
